지역,SIG_CD
강원특별자치도 강릉시,51150
경기도 고양시 덕양구,41281
경기도 고양시 일산동구,41285
경기도 고양시 일산서구,41287
경기도 성남시 분당구,41135
경기도 성남시 수정구,41131
경기도 수원시 영통구,41117
경기도 안양시 동안구,41173
경기도 용인시 기흥구,41463
경기도 용인시 수지구,41465
경기도 용인시 처인구,41461
경기도 평택시,41220
경기도 하남시,41450
경상남도 창원시 마산회원구,48127
서울특별시 강남구,11680
서울특별시 강동구,11740
서울특별시 강서구,11500
서울특별시 광진구,11215
서울특별시 구로구,11530
서울특별시 노원구,11350
서울특별시 마포구,11440
서울특별시 서초구,11650
서울특별시 성동구,11200
서울특별시 송파구,11710
서울특별시 영등포구,11560
서울특별시 용산구,11170
인천광역시 부평구,28237
인천광역시 연수구,28185
제주특별자치도 서귀포시,50130
충청남도 천안시 서북구,44133
