지역,SIG_CD
강원특별자치도 고성군,51820
강원특별자치도 원주시,51130
강원특별자치도 춘천시,51110
강원특별자치도 평창군,51760
경기도 과천시,41290
경기도 군포시,41410
경기도 김포시,41570
경기도 성남시 중원구,41133
경기도 수원시 권선구,41113
경기도 의정부시,41150
경상남도 김해시,48250
경상남도 양산시,48330
경상북도 구미시,47190
광주광역시 광산구,29200
광주광역시 남구,29155
광주광역시 동구,29110
광주광역시 북구,29170
광주광역시 서구,29140
대구광역시 남구,27200
대구광역시 달서구,27290
대구광역시 동구,27140
대구광역시 북구,27230
대구광역시 서구,27170
대구광역시 수성구,27260
대구광역시 중구,27110
대전광역시 대덕구,30230
대전광역시 동구,30110
대전광역시 서구,30170
대전광역시 유성구,30200
대전광역시 중구,30140
부산광역시 강서구,26440
부산광역시 금정구,26410
부산광역시 남구,26290
부산광역시 동구,26170
부산광역시 북구,26320
부산광역시 사상구,26530
부산광역시 서구,26140
부산광역시 연제구,26470
부산광역시 중구,26110
서울특별시 강북구,11305
서울특별시 관악구,11620
서울특별시 금천구,11545
서울특별시 도봉구,11320
서울특별시 동대문구,11230
서울특별시 동작구,11590
서울특별시 성북구,11290
서울특별시 양천구,11470
서울특별시 은평구,11380
서울특별시 종로구,11110
서울특별시 중구,11140
서울특별시 중랑구,11260
울산광역시 남구,31140
울산광역시 동구,31170
울산광역시 북구,31200
울산광역시 중구,31110
인천광역시 계양구,28245
인천광역시 남동구,28200
인천광역시 동구,28140
인천광역시 미추홀구,28177
인천광역시 서구,28260
인천광역시 중구,28110
충청북도 청주시 서원구,43112
충청북도 청주시 청원구,43114
충청북도 청주시 흥덕구,43113
